SESSION NAME:	MS0811 GABO S9E01 Music Cue Sheet Domestic
SAMPLE RATE:	48000.000000
BIT DEPTH:	24-bit
SESSION START TIMECODE:	00:00:00:00
TIMECODE FORMAT:	25 Frame
# OF AUDIO TRACKS:	446
# OF AUDIO CLIPS:	34922
# OF AUDIO FILES:	7165


T R A C K  L I S T I N G
TRACK NAME:	MX a1 (Stereo)
COMMENTS:	
USER DELAY:	0 Samples
STATE: 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	50      	No Time 03_WWs_Howe.wav.new.01-04	   00:30:49:24	   00:31:14:01	   00:00:24:02	Unmuted
1       	51      	GBBO_Caramelised Pizz V2.00_2mx_TH.wav.new.03-13	   00:31:52:03	   00:32:01:23	   00:00:09:20	Unmuted
1       	52      	GABO_QUIRKY_STICKYBEAKS_604_CT_01 FULL.wav.new.01-08	   00:32:20:19	   00:32:28:05	   00:00:07:11	Unmuted
1       	53      	GABO_QUIRKY_STICKYBEAKS_604_CT_01 FULL.wav.new.02-21	   00:32:36:10	   00:33:01:11	   00:00:25:00	Unmuted
1       	54      	Dragon Strings 02_STRINGS_Howe.wav.new.01-05	   00:33:09:18	   00:33:32:24	   00:00:23:06	Unmuted
1       	55      	Wonder 00_MIX_Howe.wav.new.01-10	   00:34:11:09	   00:34:34:23	   00:00:23:14	Unmuted
1       	56      	GBBO 12_Butter Cream Frosting v1.02 TIDEWAY_2mx.wav.new.01-15	   00:34:45:20	   00:35:00:05	   00:00:14:10	Unmuted
1       	57      	Ticking Tarts 00_MIX_Howe.wav.new.01-09	   00:35:06:06	   00:35:21:20	   00:00:15:14	Unmuted
1       	58      	GBBO13_Light Major Tension v1.02 TIDEWAY 2mx.wav.new.01-04	   00:35:55:18	   00:36:07:00	   00:00:11:07	Unmuted
1       	59      	GBBO 12_Petit Fours v1.05 TIDEWAY_2mx.wav.new.01-20	   00:36:14:21	   00:36:28:03	   00:00:13:07	Unmuted
