SESSION NAME:,MS0811 GABO S9E01 Music Cue Sheet Domestic
SAMPLE RATE:,48000.000000
BIT DEPTH:,24-bit
SESSION START TIMECODE:,00:00:00:00
TIMECODE FORMAT:,25 Frame

No.,Name,Timecode In,Timecode Out,Duration
80,Elefat107_Trk8_Cymbal_H_Sam_Music-01.,00:30:45:17,00:30:57:17,00:00:12:00
81,No Time 03_WWs_Howe.wav.new,00:30:49:24,00:31:14:01,00:00:24:02
82,Elefat107_Trk8_Cymbal_H_Sam_Music-01.,00:31:05:09,00:31:17:09,00:00:12:00
83,GABO4_START_SPRING_601_CT_noSTGS.wav.new,00:31:12:21,00:31:43:24,00:00:31:03
84,Elefat107_Trk8_Cymbal_H_Sam_Music-01.,00:31:32:10,00:31:44:10,00:00:12:00
85,GBBO_Caramelised Pizz V2.00_2mx_TH.wav.new,00:31:52:03,00:32:01:23,00:00:09:20
86,Elefat107_Trk8_Cymbal_H_Sam_Music-01.,00:31:59:18,00:32:11:18,00:00:12:00
87,GBBO_Caramelised Pizz v1.01,00:32:01:16,00:32:09:15,00:00:07:24
88,Elefat107_Trk8_Cymbal_H_Sam_Music-01.,00:32:18:22,00:32:30:22,00:00:12:00
89,GABO_QUIRKY_STICKYBEAKS_604_CT,00:32:20:19,00:33:01:11,00:00:40:17
90,Elefat107_Trk8_Cymbal_H_Sam_Music-02.,00:32:56:02,00:33:08:02,00:00:12:00
91,Dragon Strings 02_STRINGS_Howe.wav.new,00:33:09:18,00:33:32:24,00:00:23:06
92,Neutral Bed 00_MIX_Howe.wav.new,00:33:28:08,00:34:12:05,00:00:43:22
93,Wonder 00_MIX_Howe.wav.new,00:34:11:09,00:34:34:23,00:00:23:14
94,GBBO 12_Butter Cream Frosting v1.02 TIDEWAY_2mx.wav.new,00:34:45:20,00:35:00:05,00:00:14:10
95,Ticking Tarts 00_MIX_Howe.wav.new,00:35:06:06,00:35:30:10,00:00:24:04
96,Lemon Curd_01_Mallets_Howe.wav.new,00:35:30:07,00:35:56:07,00:00:26:00
97,GBBO13_Light Major Tension v1.02 TIDEWAY 2mx.wav.new,00:35:55:18,00:36:07:00,00:00:11:07
98,GBBO 12_Petit Fours v1.05 TIDEWAY_2mx.wav.new,00:36:14:21,00:36:33:02,00:00:18:06
99,GBBO Rhythmic Tension,00:36:32:04,00:36:46:01,00:00:13:22
100,Emotive Bake,00:36:49:06,00:37:13:09,00:00:24:03
101,Elefat107_Trk8_Cymbal_H_Sam_Music-02.,00:37:09:23,00:37:21:23,00:00:12:00
102,Emotive Bake 00_MIX_Howe.wav.new,00:37:12:00,00:37:28:22,00:00:16:22
103,Elefat107_Trk8_Cymbal_H_Sam_Music-03.,00:37:22:18,00:37:34:18,00:00:12:00
104,Organic Orchestral 00_MIX_Howe.wav.new,00:37:28:10,00:37:40:06,00:00:11:21
105,Elefat107_Trk8_Cymbal_H_Sam_Music-03.,00:37:37:21,00:37:49:21,00:00:12:00
106,Organic Orchestral 05_PIANO_Howe.wav.new,00:37:39:10,00:37:50:11,00:00:11:01
107,GBBO_Caramelised Pizz v2.00_Mallets_TH.wav.new,00:37:58:10,00:38:12:14,00:00:14:04
108,Elefat107_Trk8_Cymbal_H_Sam_Music-04.,00:38:08:18,00:38:20:18,00:00:12:00
109,Energy of Baking 00_MIX_Howe.wav.new,00:38:32:12,00:39:33:01,00:01:00:14
110,GBBO_Pepper Pizz v1.02_2mx_TH.wav.new,00:39:46:24,00:40:04:23,00:00:17:24
111,More Dragons 00_MIX_Howe.wav.new,00:40:20:07,00:40:51:10,00:00:31:03
112,GBBO 11_Bun In The Oven v1.03,00:41:08:17,00:41:33:17,00:00:25:00
113,Elefat107_Trk8_Cymbal_H_Sam_Music-05.,00:41:30:00,00:41:42:00,00:00:12:00
114,GBBO 11_Bun In The Oven v1.03_2mx_TH.wav.new,00:41:32:06,00:41:49:02,00:00:16:21
115,GABO4_QUIRKY_RUSH HOUR_603_CT_FULL.wav.new,00:42:19:19,00:42:41:24,00:00:22:05
116,Elefat107_Trk8_Cymbal_H_Sam_Music-05.,00:42:35:11,00:42:47:11,00:00:12:00
